parent_tweet_id,is_reply_to,replies,links/0,username,tweet_url,user_id,retweets,text_html,screen_name,timestamp,has_media,is_replied,likes,text,video_url,tweet_id,timestamp_epochs,reply_to_users/0/user_id,reply_to_users/0/screen_name,reply_to_users/1/user_id,reply_to_users/1/screen_name,hashtags/0,reply_to_users/2/user_id,reply_to_users/2/screen_name,img_urls/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,img_urls/1,img_urls/2,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,hashtags/12,hashtags/13,img_urls/3,links/1
,false,2,http://t.ted.com/KpKcIXk,TED Talks,/TEDTalks/status/1096921897072238592,15492359,218,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">7 TED Talks to help you reach your goals:<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""http://t.ted.com/KpKcIXk"" dir=""ltr"" href=""https://t.co/clWR2RWfCA"" rel=""nofollow noopener"" target=""_blank"" title=""http://t.ted.com/KpKcIXk""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">t.ted.com/KpKcIXk</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",TEDTalks,2019-02-16T23:58:54,false,true,744,7 TED Talks to help you reach your goals:http://t.ted.com/KpKcIXk ,,1096921897072238592,1550361534,,,,,,,,,,,,,,,,,,,,,,,,,
1096840492246069256,true,0,,Deeniee Smith,/DeenieeSmith/status/1096921575624978432,1043646092364210176,0,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Beautiful song.</p>",DeenieeSmith,2019-02-16T23:57:38,false,false,0,Beautiful song.,,1096921575624978432,1550361458,807671750,colleenbonniwel,15492359,TEDTalks,,,,,,,,,,,,,,,,,,,,,
,false,1,,𝕯𝖆𝖟𝖊_𝕿𝖍𝖆.𝕲🌎⅁˙ɐɥ⊥¯ǝzɐᗡ,/Dcedeno21/status/1096921545195237376,84248828,0,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">18 yrs of extensive study shows a beer will cure your hangover. Thanks for coming to my <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Tedtalks?src=hash""><s>#</s><b><strong>Tedtalks</strong></b></a></p>",Dcedeno21,2019-02-16T23:57:30,false,true,1,18 yrs of extensive study shows a beer will cure your hangover. Thanks for coming to my #Tedtalks,,1096921545195237376,1550361450,,,,,Tedtalks,,,,,,,,,,,,,,,,,,,,
1096765959510126593,true,0,,Kâïtÿ Kât👸🏽💋,/Kaity_Janee/status/1096920631998849025,2960305339,0,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Finished!<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/GhLwnkZ8vl"">pic.twitter.com/GhLwnkZ8vl</a></p>",Kaity_Janee,2019-02-16T23:53:53,true,false,1,Finished!pic.twitter.com/GhLwnkZ8vl,,1096920631998849025,1550361233,886462107130179585,meechcontent,3105826730,DemetriusHarmon,,15492359,TEDTalks,https://pbs.twimg.com/media/DzkLgBLX4AIv-5i.jpg,,,,,,,,,,,,,,,,,
,false,0,https://twitter.com/TEDTalks/status/1096905845995159553,KAFETERA Produktions,/KAFETERA_/status/1096920232042655745,961620256052654080,0,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""15492359"" dir=""ltr"" href=""/TEDTalks""><s>@</s><b><strong>TEDTalks</strong></b></a> Posted... 
<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/TEDTalks/status/1096905845995159553"" dir=""ltr"" href=""https://t.co/bNgxNLrSmC"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/TEDTalks/status/1096905845995159553""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/TEDTalks/statu</span><span class=""invisible"">s/1096905845995159553</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",KAFETERA_,2019-02-16T23:52:17,false,false,0,"@TEDTalks Posted... 
https://twitter.com/TEDTalks/status/1096905845995159553 …",,1096920232042655745,1550361137,,,,,,,,,,,,,,,,,,,,,,,,,
,false,0,https://twitter.com/TEDTalks/status/1096890450311548928,KAFETERA Produktions,/KAFETERA_/status/1096920229765136386,961620256052654080,0,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""15492359"" dir=""ltr"" href=""/TEDTalks""><s>@</s><b><strong>TEDTalks</strong></b></a> Posted... 
<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/TEDTalks/status/1096890450311548928"" dir=""ltr"" href=""https://t.co/56I1mylQdN"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/TEDTalks/status/1096890450311548928""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/TEDTalks/statu</span><span class=""invisible"">s/1096890450311548928</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",KAFETERA_,2019-02-16T23:52:17,false,false,0,"@TEDTalks Posted... 
https://twitter.com/TEDTalks/status/1096890450311548928 …",,1096920229765136386,1550361137,,,,,,,,,,,,,,,,,,,,,,,,,
,false,0,http://bit.ly/2Sq3RK5,Keens Design & Marketing,/KeensDesign/status/1096919907290238977,267253942,0,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Multiply your time by asking 4 questions about the stuff on your to-do list <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/2Sq3RK5"" dir=""ltr"" href=""https://t.co/VAWibHLkC5"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/2Sq3RK5""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/2Sq3RK5</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> via <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""15492359"" dir=""ltr"" href=""/TEDTalks""><s>@</s><b><strong>TEDTalks</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/productivity?src=hash""><s>#</s><b>productivity</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/4FGzjSxrhv"">pic.twitter.com/4FGzjSxrhv</a></p>",KeensDesign,2019-02-16T23:51:00,true,false,0,Multiply your time by asking 4 questions about the stuff on your to-do list http://bit.ly/2Sq3RK5  via @TEDTalks #productivitypic.twitter.com/4FGzjSxrhv,,1096919907290238977,1550361060,,,,,productivitypic,,,https://pbs.twimg.com/media/DymTNhOXgAI7NIT.jpg,,,,,,,,,,,,,,,,,
,false,0,https://www.ted.com/talks/lera_boroditsky_how_language_shapes_the_way_we_think?utm_source=twitter.com&utm_medium=social&utm_campaign=tedspread,Thaiya Waronja,/Thaiya_Waronja/status/1096919871567351809,2818522551,0,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">How language shapes the way we think (Lera Boroditsky | TEDWomen 2017) <a class=""twitter-timeline-link"" data-expanded-url=""https://www.ted.com/talks/lera_boroditsky_how_language_shapes_the_way_we_think?utm_source=twitter.com&amp;utm_medium=social&amp;utm_campaign=tedspread"" dir=""ltr"" href=""https://t.co/uviyQ8sTcV"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.ted.com/talks/lera_boroditsky_how_language_shapes_the_way_we_think?utm_source=twitter.com&amp;utm_medium=social&amp;utm_campaign=tedspread""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">ted.com/talks/lera_bor</span><span class=""invisible"">oditsky_how_language_shapes_the_way_we_think?utm_source=twitter.com&amp;utm_medium=social&amp;utm_campaign=tedspread</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> via <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""15492359"" dir=""ltr"" href=""/TEDTalks""><s>@</s><b><strong>TEDTalks</strong></b></a></p>",Thaiya_Waronja,2019-02-16T23:50:51,false,false,3,How language shapes the way we think (Lera Boroditsky | TEDWomen 2017) https://www.ted.com/talks/lera_boroditsky_how_language_shapes_the_way_we_think?utm_source=twitter.com&utm_medium=social&utm_campaign=tedspread … via @TEDTalks,,1096919871567351809,1550361051,,,,,,,,,,,,,,,,,,,,,,,,,
,false,0,https://www.ted.com/talks/mathias_basner_why_noise_is_bad_for_your_health_and_what_you_can_do_about_it?utm_source=twitter.com&utm_medium=social&utm_campaign=tedspread,السيد محمد آل شيبان,/Alshaiban/status/1096917872163598338,209768136,0,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Why noise is bad for your health — and what you can do about it (Mathias Basner | TEDMED 2018) <a class=""twitter-timeline-link"" data-expanded-url=""https://www.ted.com/talks/mathias_basner_why_noise_is_bad_for_your_health_and_what_you_can_do_about_it?utm_source=twitter.com&amp;utm_medium=social&amp;utm_campaign=tedspread"" dir=""ltr"" href=""https://t.co/975e1i42EA"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.ted.com/talks/mathias_basner_why_noise_is_bad_for_your_health_and_what_you_can_do_about_it?utm_source=twitter.com&amp;utm_medium=social&amp;utm_campaign=tedspread""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">ted.com/talks/mathias_</span><span class=""invisible"">basner_why_noise_is_bad_for_your_health_and_what_you_can_do_about_it?utm_source=twitter.com&amp;utm_medium=social&amp;utm_campaign=tedspread</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> via <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""15492359"" dir=""ltr"" href=""/TEDTalks""><s>@</s><b><strong>TEDTalks</strong></b></a></p>",Alshaiban,2019-02-16T23:42:55,false,false,0,Why noise is bad for your health — and what you can do about it (Mathias Basner | TEDMED 2018) https://www.ted.com/talks/mathias_basner_why_noise_is_bad_for_your_health_and_what_you_can_do_about_it?utm_source=twitter.com&utm_medium=social&utm_campaign=tedspread … via @TEDTalks,,1096917872163598338,1550360575,,,,,,,,,,,,,,,,,,,,,,,,,
,false,0,https://www.ted.com/talks/thandie_newton_embracing_otherness_embracing_myself?utm_source=twitter.com&utm_medium=social&utm_campaign=tedspread,Anita Kazis,/anita_kazis/status/1096916454769942534,132798877,0,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The idea of self and oneness and how we can all live with each other beyond all that is  articulately expressed here by Thandie Newton. 
Embracing otherness, embracing myself (Thandie Newton | TEDGlobal 2011) <a class=""twitter-timeline-link"" data-expanded-url=""https://www.ted.com/talks/thandie_newton_embracing_otherness_embracing_myself?utm_source=twitter.com&amp;utm_medium=social&amp;utm_campaign=tedspread"" dir=""ltr"" href=""https://t.co/JxZ1SjaIa3"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.ted.com/talks/thandie_newton_embracing_otherness_embracing_myself?utm_source=twitter.com&amp;utm_medium=social&amp;utm_campaign=tedspread""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">ted.com/talks/thandie_</span><span class=""invisible"">newton_embracing_otherness_embracing_myself?utm_source=twitter.com&amp;utm_medium=social&amp;utm_campaign=tedspread</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> via <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""15492359"" dir=""ltr"" href=""/TEDTalks""><s>@</s><b><strong>TEDTalks</strong></b></a></p>",anita_kazis,2019-02-16T23:37:17,false,false,0,"The idea of self and oneness and how we can all live with each other beyond all that is  articulately expressed here by Thandie Newton. 
Embracing otherness, embracing myself (Thandie Newton | TEDGlobal 2011) https://www.ted.com/talks/thandie_newton_embracing_otherness_embracing_myself?utm_source=twitter.com&utm_medium=social&utm_campaign=tedspread … via @TEDTalks",,1096916454769942534,1550360237,,,,,,,,,,,,,,,,,,,,,,,,,
